image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.89863,bus,van,False
drive_022,2,3,0.703251,car,car,True
drive_022,3,1,0.614974,car,car,True
drive_022,4,4,0.561272,car,car,True
drive_022,5,5,0.626895,truck,bus,False
drive_033,1,1,0.960178,bus,van,False
drive_033,2,2,0.705767,truck,bus,False
drive_033,3,11,0.812036,car,car,True
drive_033,4,12,0.844813,bus,van,False
drive_033,5,7,0.84983,car,car,True
drive_033,6,3,0.754802,car,car,True
drive_033,7,4,0.476345,car,car,True
drive_033,8,9,0.817293,car,car,True
drive_033,16,5,0.689914,car,car,True
drive_033,18,6,0.737106,car,car,True
drive_033,19,10,0.847642,car,car,True
drive_033,22,8,0.726245,car,car,True
drive_038,2,5,0.883071,truck,bus,False
drive_038,3,2,0.835184,car,car,True
drive_038,4,1,0.816285,car,car,True
drive_038,5,4,0.635283,car,car,True
drive_038,6,15,0.823988,van,truck,False
drive_038,7,9,0.905837,truck,bus,False
drive_038,8,8,0.908752,car,car,True
drive_038,9,7,0.717308,car,car,True
drive_038,10,6,0.77218,car,car,True
drive_038,11,12,0.854076,car,car,True
drive_038,12,11,0.830717,car,car,True
drive_038,13,13,0.856581,car,car,True
drive_038,14,14,0.769871,car,car,True
drive_038,17,16,0.663739,car,car,True
drive_038,18,17,0.850125,car,car,True
drive_038,34,3,0.86581,car,car,True
drive_008,1,16,0.809793,car,car,True
drive_008,2,11,0.780886,car,car,True
drive_008,3,12,0.774463,car,truck,False
drive_008,4,4,0.7894,car,car,True
drive_008,5,6,0.756106,car,car,True
drive_008,6,3,0.826917,van,truck,False
drive_008,7,2,0.804264,car,car,True
drive_008,9,5,0.801528,van,truck,False
drive_008,10,1,0.84222,truck,bus,False
drive_008,18,15,0.138531,car,car,True
drive_008,20,9,0.946172,bus,van,False
drive_008,23,7,0.79086,car,car,True
drive_008,24,13,0.721379,car,car,True
drive_008,25,14,0.798718,car,car,True
